epoch,step,train_loss_step
0,49,8.487013816833496
0,99,8.297730445861816
0,149,8.140153884887695
1,199,7.608307838439941
1,249,8.304838180541992
1,299,8.048839569091797
1,349,7.809886932373047
2,399,8.25186538696289
2,449,7.364475250244141
2,499,7.242871284484863
2,549,7.900875091552734
3,599,7.953756332397461
3,649,8.149197578430176
3,699,7.534571647644043
3,749,8.42358684539795
4,799,7.657768249511719
4,849,7.219929218292236
4,899,6.90212345123291
5,949,6.627989768981934
5,999,6.725121974945068
5,1049,7.552309513092041
5,1099,7.8506622314453125
6,1149,6.353935718536377
6,1199,5.675201892852783
6,1249,7.0210490226745605
6,1299,7.146712303161621
7,1349,6.76472806930542
7,1399,7.683722496032715
7,1449,6.141651630401611
7,1499,7.19870662689209
8,1549,6.393092155456543
8,1599,6.9491047859191895
8,1649,6.300024509429932
9,1699,6.854820251464844
9,1749,6.378729820251465
9,1799,6.016471862792969
9,1849,6.386086463928223
10,1899,6.777531147003174
10,1949,5.600900650024414
10,1999,6.378330707550049
10,2049,7.215614318847656
11,2099,6.366172790527344
11,2149,4.824898719787598
11,2199,7.399641036987305
11,2249,6.517940044403076
12,2299,5.86196756362915
12,2349,7.158905982971191
12,2399,6.938146591186523
13,2449,6.473099708557129
13,2499,5.979398250579834
13,2549,6.133643627166748
13,2599,5.663371562957764
14,2649,5.276033878326416
14,2699,4.574983596801758
14,2749,5.902515411376953
14,2799,5.5329909324646
15,2849,4.692984580993652
15,2899,6.159231185913086
15,2949,5.589691162109375
15,2999,6.235955715179443
16,3049,5.265650749206543
16,3099,5.183494567871094
16,3149,6.935614109039307
17,3199,5.671629428863525
17,3249,5.803685188293457
17,3299,5.87813138961792
17,3349,6.489148139953613
18,3399,4.666904449462891
18,3449,6.576441287994385
18,3499,5.297959327697754
18,3549,6.808977127075195
19,3599,7.083702087402344
19,3649,4.942541122436523
19,3699,4.568161964416504
19,3749,4.201407432556152
20,3799,6.141124248504639
20,3849,6.121092796325684
20,3899,4.665143966674805
21,3949,5.711987018585205
21,3999,5.168079853057861
21,4049,4.046852111816406
21,4099,5.763408660888672
22,4149,5.06454610824585
22,4199,6.166021347045898
22,4249,5.340600490570068
22,4299,4.51085901260376
23,4349,8.107354164123535
23,4399,4.512722015380859
23,4449,4.872997760772705
23,4499,4.862798690795898
24,4549,4.702786445617676
24,4599,4.142913341522217
24,4649,2.456376791000366
24,4699,4.62136697769165
25,4749,4.840749740600586
25,4799,4.062122821807861
25,4849,3.5801544189453125
26,4899,3.948410987854004
26,4949,3.131594657897949
26,4999,3.232776641845703
26,5049,3.289675712585449
27,5099,3.6545960903167725
27,5149,3.1606733798980713
27,5199,3.446890115737915
27,5249,4.248251914978027
28,5299,3.5985655784606934
28,5349,2.538377285003662
28,5399,4.721124172210693
28,5449,4.864636421203613
29,5499,3.097878932952881
29,5549,5.060390472412109
29,5599,4.206080913543701
30,5649,3.6004157066345215
30,5699,3.474033832550049
30,5749,3.7094154357910156
30,5799,3.4659276008605957
31,5849,2.9447851181030273
31,5899,3.1445136070251465
31,5949,3.490870952606201
31,5999,3.343264102935791
32,6049,3.1374688148498535
32,6099,2.1783008575439453
32,6149,3.2495341300964355
32,6199,4.623989105224609
33,6249,4.1406145095825195
33,6299,3.823838472366333
33,6349,2.651271104812622
34,6399,3.2797603607177734
34,6449,4.185146331787109
34,6499,3.1647090911865234
34,6549,4.910049915313721
35,6599,3.1712677478790283
35,6649,4.803903579711914
35,6699,2.841733932495117
35,6749,3.2932493686676025
36,6799,2.521564483642578
36,6849,2.6128242015838623
36,6899,3.1020915508270264
36,6949,2.7295138835906982
37,6999,3.280189275741577
37,7049,1.9692115783691406
37,7099,2.172940254211426
38,7149,1.8676297664642334
38,7199,1.4275050163269043
38,7249,3.0062179565429688
38,7299,1.8098502159118652
39,7349,1.916225552558899
39,7399,1.6586863994598389
39,7449,3.524690866470337
39,7499,3.195992946624756
40,7549,2.9845993518829346
40,7599,2.8292715549468994
40,7649,3.358405113220215
40,7699,1.4750653505325317
41,7749,2.201322317123413
41,7799,2.900657892227173
41,7849,3.0873732566833496
42,7899,2.0654428005218506
42,7949,2.592041492462158
42,7999,3.1579549312591553
42,8049,3.5301661491394043
43,8099,3.6080029010772705
43,8149,1.8445762395858765
43,8199,2.9897947311401367
43,8249,1.4074735641479492
44,8299,3.1085290908813477
44,8349,3.3268587589263916
44,8399,2.3969311714172363
44,8449,2.5460703372955322
45,8499,2.006972551345825
45,8549,1.6685938835144043
45,8599,3.3012850284576416
46,8649,2.5074992179870605
46,8699,2.8729305267333984
46,8749,2.718996286392212
46,8799,2.0010790824890137
47,8849,1.6165337562561035
47,8899,1.5395780801773071
47,8949,3.1181893348693848
47,8999,3.061624765396118
48,9049,2.0060181617736816
48,9099,3.087580680847168
48,9149,1.7501145601272583
48,9199,3.0764877796173096
49,9249,1.965248703956604
49,9299,1.9996984004974365
49,9349,1.760278344154358
49,9399,1.4999315738677979
50,9449,1.4260706901550293
50,9499,2.8718063831329346
50,9549,2.0490214824676514
51,9599,3.0329947471618652
51,9649,2.8367152214050293
51,9699,3.2203919887542725
51,9749,1.3534079790115356
52,9799,2.1661036014556885
52,9849,1.0921138525009155
52,9899,1.9629570245742798
52,9949,2.7859911918640137
53,9999,2.9659838676452637
53,10049,2.51824951171875
53,10099,1.4317213296890259
53,10149,1.8706966638565063
54,10199,2.2357864379882812
54,10249,1.757841944694519
54,10299,1.8879611492156982
55,10349,1.6644717454910278
55,10399,2.2029058933258057
55,10449,3.791745901107788
55,10499,2.14727520942688
56,10549,1.114927887916565
56,10599,1.4325363636016846
56,10649,1.5335667133331299
56,10699,1.4840866327285767
57,10749,2.039978504180908
57,10799,2.4050114154815674
57,10849,1.8187739849090576
57,10899,1.2335628271102905
58,10949,0.833418607711792
58,10999,1.6547125577926636
58,11049,1.1437339782714844
59,11099,1.9496439695358276
59,11149,1.1878432035446167
59,11199,1.5034383535385132
59,11249,1.7557506561279297
60,11299,1.0422300100326538
60,11349,2.019763708114624
60,11399,3.058116912841797
60,11449,1.44459867477417
61,11499,2.912808418273926
61,11549,1.1771354675292969
61,11599,1.822005033493042
61,11649,1.1010349988937378
62,11699,1.9985638856887817
62,11749,0.8301636576652527
62,11799,1.5217870473861694
63,11849,1.0009527206420898
63,11899,1.1793861389160156
63,11949,2.012592077255249
